doc_num,statute_code,js_date,doc_incarcerated_term_yrs,statute_desc,violent,file_month,pwid
605325,63-2-401,2017-05-09,9,DIST OF CDS/POSS W/INTENT,N,2017-05-01,TRUE
820561,63-2-401,2018-07-24,1,DIST OF CDS/POSS W/INTENT,N,2018-07-01,TRUE
479240,63-2-401,2020-02-06,10,DIST OF CDS/POSS W/INTENT,N,2020-02-01,TRUE
820651,63-2-401,2018-09-06,8,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
724221,63-2-401,2019-07-16,3.22,DIST OF CDS/POSS W/INTENT,N,2019-07-01,TRUE
820668,63-2-401,2018-08-22,5,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
549267,63-2-401,2018-07-30,7,DIST OF CDS/POSS W/INTENT,N,2018-07-01,TRUE
666862,63-2-401,2017-06-19,10,DIST OF CDS/POSS W/INTENT,N,2017-06-01,TRUE
605478,63-2-401,2018-03-27,4.75,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
820821,63-2-401,2018-09-04,1,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
820822,63-2-401,2018-08-07,6,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
820841,63-2-401,2018-09-06,10,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
820842,63-2-401,2018-08-21,3,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
820967,63-2-401,2018-05-07,2,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
820985,63-2-401,2018-05-09,2,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
821011,63-2-401,2019-04-30,2,DIST OF CDS/POSS W/INTENT,N,2019-04-01,TRUE
472690,63-2-401,2018-02-06,11,DIST OF CDS/POSS W/INTENT,N,2018-02-01,TRUE
91404,63-2-401,2018-05-09,8,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
821069,63-2-401,2018-09-11,5,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821087,63-2-401,2018-09-06,0,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821132,63-2-401,2018-08-21,3,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
605599,63-2-401,2018-06-19,8,DIST OF CDS/POSS W/INTENT,N,2018-06-01,TRUE
371811,63-2-401,2017-05-03,12,DIST OF CDS/POSS W/INTENT,N,2017-05-01,TRUE
821177,63-2-401,2018-08-22,15,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
549576,63-2-401,2020-02-25,5,DIST OF CDS/POSS W/INTENT,N,2020-02-01,TRUE
821199,63-2-401,2018-08-23,8,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
605686,63-2-401,2020-02-26,5,DIST OF CDS/POSS W/INTENT,N,2020-02-01,TRUE
204975,63-2-401,2017-06-29,10,DIST OF CDS/POSS W/INTENT,N,2017-06-01,TRUE
791255,63-2-401,2018-03-27,10,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
724527,63-2-401,2019-01-09,14,DIST OF CDS/POSS W/INTENT,N,2019-01-01,TRUE
821317,63-2-401,2018-06-27,5,DIST OF CDS/POSS W/INTENT,N,2018-06-01,TRUE
724539,63-2-401,2017-10-16,7,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
549753,63-2-401,2017-07-26,3.46,DIST OF CDS/POSS W/INTENT,N,2017-07-01,TRUE
667168,63-2-401,2019-05-02,5,DIST OF CDS/POSS W/INTENT,N,2019-05-01,TRUE
821382,63-2-401,2019-03-05,5,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
821405,63-2-401,2018-09-05,3.28,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
791279,63-2-401,2019-10-10,11,DIST OF CDS/POSS W/INTENT,N,2019-10-01,TRUE
259107,63-2-401,2017-01-30,2,DIST OF CDS/POSS W/INTENT,N,2017-01-01,TRUE
821460,63-2-401,2018-08-08,10,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
791279,63-2-401,2020-01-23,10,DIST OF CDS/POSS W/INTENT,N,2020-01-01,TRUE
667204,63-2-401,2017-12-07,6,DIST OF CDS/POSS W/INTENT,N,2017-12-01,TRUE
479735,63-2-401,2019-05-15,15,DIST OF CDS/POSS W/INTENT,N,2019-05-01,TRUE
791285,63-2-401,2017-08-23,5,DIST OF CDS/POSS W/INTENT,N,2017-08-01,TRUE
821523,63-2-401,2019-03-20,3,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
724673,63-2-401,2018-03-01,2.86,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
667296,63-2-401,2017-04-28,10,DIST OF CDS/POSS W/INTENT,N,2017-04-01,TRUE
791296,63-2-401,2018-03-27,10,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
821624,63-2-401,2018-09-10,3,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821635,63-2-401,2018-09-07,4,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821636,63-2-401,2018-09-05,10,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
605927,63-2-401,2019-09-20,10,DIST OF CDS/POSS W/INTENT,N,2019-09-01,TRUE
821662,63-2-401,2019-05-10,5,DIST OF CDS/POSS W/INTENT,N,2019-05-01,TRUE
821702,63-2-401,2018-09-12,13,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821702,63-2-401,2018-09-12,2,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821721,63-2-401,2018-09-07,15,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
423134,63-2-401,2019-09-06,10,DIST OF CDS/POSS W/INTENT,N,2019-09-01,TRUE
205115,63-2-401,2017-10-06,12,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
821746,63-2-401,2018-09-05,6,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821768,63-2-401,2018-09-18,7,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
550026,63-2-401,2018-11-15,6,DIST OF CDS/POSS W/INTENT,N,2018-11-01,TRUE
821796,63-2-401,2018-09-18,5,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821800,63-2-401,2018-08-28,5,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
821800,63-2-401,2019-01-10,6,DIST OF CDS/POSS W/INTENT,N,2019-01-01,TRUE
821800,63-2-401,2019-02-06,5,DIST OF CDS/POSS W/INTENT,N,2019-02-01,TRUE
821860,63-2-401,2018-04-13,9,DIST OF CDS/POSS W/INTENT,N,2018-04-01,TRUE
259208,63-2-401,2019-07-11,6,DIST OF CDS/POSS W/INTENT,N,2019-07-01,TRUE
821903,63-2-401,2018-09-05,5,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821906,63-2-401,2018-09-28,0.5,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
667474,63-2-401,2018-09-17,10,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
667474,63-2-401,2018-09-17,6.62,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
821918,63-2-401,2019-05-03,5,DIST OF CDS/POSS W/INTENT,N,2019-05-01,TRUE
821918,63-2-401,2019-08-07,5,DIST OF CDS/POSS W/INTENT,N,2019-08-01,TRUE
791364,63-2-401,2018-03-26,2,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
821996,63-2-401,2018-09-07,1,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
372148,63-2-401,2019-03-11,10,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
372176,63-2-401,2018-10-29,8,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
233183,63-2-401,2017-12-21,2.33,DIST OF CDS/POSS W/INTENT,N,2017-12-01,TRUE
725044,63-2-401,2018-06-11,15,DIST OF CDS/POSS W/INTENT,N,2018-06-01,TRUE
822129,63-2-401,2018-10-03,0.54,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
92110,63-2-401,2018-09-13,5,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
790208,63-2-401,2018-03-28,0.73,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
480318,63-2-401,2019-03-12,10,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
822291,63-2-401,2018-08-29,10,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
822295,63-2-401,2018-09-27,3.18,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
822320,63-2-401,2018-07-13,6,DIST OF CDS/POSS W/INTENT,N,2018-07-01,TRUE
259319,63-2-401,2019-03-15,9,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
790208,63-2-401,2018-03-28,0.69,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
822358,63-2-401,2018-07-13,8,DIST OF CDS/POSS W/INTENT,N,2018-07-01,TRUE
822359,63-2-401,2018-08-17,15,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
822440,63-2-401,2018-10-02,10,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
140634,63-2-401,2019-10-23,2,DIST OF CDS/POSS W/INTENT,N,2019-10-01,TRUE
606500,63-2-401,2018-08-06,10,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
822553,63-2-401,2019-06-18,2,DIST OF CDS/POSS W/INTENT,N,2019-06-01,TRUE
822554,63-2-401,2018-12-04,4.39,DIST OF CDS/POSS W/INTENT,N,2018-12-01,TRUE
480507,63-2-401,2017-09-08,5,DIST OF CDS/POSS W/INTENT,N,2017-09-01,TRUE
667841,63-2-401,2020-01-08,10,DIST OF CDS/POSS W/INTENT,N,2020-01-01,TRUE
372357,63-2-401,2018-06-13,10,DIST OF CDS/POSS W/INTENT,N,2018-06-01,TRUE
480507,63-2-401,2017-09-08,10,DIST OF CDS/POSS W/INTENT,N,2017-09-01,TRUE
822558,63-2-401,2018-10-03,3,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
606566,63-2-401,2017-05-31,25,DIST OF CDS/POSS W/INTENT,N,2017-05-01,TRUE
606573,63-2-401,2019-06-17,10,DIST OF CDS/POSS W/INTENT,N,2019-06-01,TRUE
717822,63-2-401,2019-08-15,0.28,DIST OF CDS/POSS W/INTENT,N,2019-08-01,TRUE
725346,63-2-401,2017-08-09,14,DIST OF CDS/POSS W/INTENT,N,2017-08-01,TRUE
661471,63-2-401,2018-08-06,15,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
822598,63-2-401,2018-09-20,4,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
725363,63-2-401,2018-09-07,20,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
